category,name,price
커피,따뜻한 아메리카노,3200
커피,차가운 아메리카노,3200
커피,차가운 넛츠 크림 라떼,4700
커피,따뜻한 연유 라떼,4500
커피,차가운 연유 라떼,4500
커피,따뜻한 카페 라떼,4200
커피,차가운 카페 라떼,4200
커피,따뜻한 모카,4500
커피,차가운 모카,4500
커피,따뜻한 카라멜 마끼아또,4500
커피,차가운 카라멜 마끼아또,4500
커피,따뜻한 바닐라 라떼,4500
커피,차가운 바닐라 라떼,4500
커피,따뜻한 초콜릿 모카,4500
커피,차가운 초콜릿 모카,4500
커피,따뜻한 민트 모카,4900
커피,차가운 민트 모카,4900
프라치노,망고 프라치노,3900
프라치노,복숭아 프라치노,3900
프라치노,초콜릿 칩 프라치노,4500
프라치노,민트 초콜릿 칩 프라치노,4500
프라치노,플레인 요거트 프라치노,4500
프라치노,블루베리 요거트 프라치노,4700
프라치노,딸기 요거트 프라치노,4700
쉐이크,오리진 쉐이크,4700
쉐이크,초콜릿 쿠키 쉐이크,4900
쉐이크,딸기 쉐이크,5200
버블티,버블 흑당 라떼,4700
버블티,버블 크림 밀크티,4700
블렌딩티,살얼음 식혜,4200
블렌딩티,그린루이보스,3200
블렌딩티,샤인히비스커스,3200
블렌딩티,스프링캐모마일,3200
블렌딩티,퓨어페퍼민트,3200
블렌딩티,피치얼그레이,3200
블렌딩티,쌍화차,4200
블렌딩티,생강차,4200
블렌딩티,밀크티,4200
블렌딩티,석류 애플라임,5100
블렌딩티,유자 피나콜라다,5100
블렌딩티,자몽 네이블오렌지,5100
블렌딩티,복숭아 아이스티,2900
블렌딩티,레몬 아이스티,2900
블렌딩티,석류 오리지널,4200
에이드,레몬 에이드,4200
에이드,자몽 에이드,3200
에이드,청포도 에이드,4200
병음료,이디야 감귤&한라봉 주스,3400
병음료,이디야 사과&당근 주스,3400
병음료,(병)유자 피나콜라다,3000
병음료,(병)석류 애플라임,3000
병음료,이디야 콤부차 복숭아망고,3500
병음료,이디야 콤부차 청포도레몬,3500
병음료,(병)이디야 사과주스,3000
병음료,이디야키즈 뽀로로 사과매실,1500
병음료,이디야키즈 뽀로로 오렌지,1500
병음료,이디야키즈 뽀로로 포도블루베리,1500
스낵,이디야 단백질바 초코쿠키,1400
스낵,이디야 비타민바 그릭요거트,1400
스낵,미니프레첼 볶음양념맛,1200
스낵,미니프레첼 와사비맛,1200
스낵,크리미초코 감자쿠키,2500
스낵,크리미치즈 그레인쿠키,2500
기타 음료,달고나 라떼,3700
기타 음료,흑당 라떼,3700
기타 음료,초콜릿,3900
기타 음료,민트 초콜릿,4200
기타 음료,녹차 라떼,3900
기타 음료,12곡 라떼,3700
기타 음료,토피 넛 라떼,4200
기타 음료,고구마 라떼,4200
기타 음료,딸기 주스,4500
기타 음료,골드키위주스,4500
기타 음료,홍시 주스,4500
베이커리,꿀 호떡,2000
베이커리,콘치즈 계란빵,2900
베이커리,소금빵,3000
베이커리,소금 버터 스콘,2900
베이커리,흑임자 팥붕어빵,2500
베이커리,흑임자 슈크림붕어빵,2500
베이커리,베이컨포테이토 스퀘어피자,4200
베이커리,매콤 로제 구운 주먹밥,2000
베이커리,까르보나라 구운 주먹밥,2000
베이커리,허니 카라멜 브레드,5200
베이커리,메이플 넛 브레드,5400
베이커리,플레인 와플,2700
베이커리,크림치즈 와플,3400
베이커리,생크림 와플,2900
베이커리,메이플 와플,3200
베이커리,프레즐,2700
베이커리,플레인 베이글,2500
베이커리,크로크무슈,4700
베이커리,소고기 브리또,4200
베이커리,핫치킨 브리또,4200
베이커리,초코칩 머핀,2500
디저트&기타,토피넛 크룽지,3300
디저트&기타,초코렛 청크 쿠키,2100
디저트&기타,화이트초코 마카다미아 쿠키,2100
디저트&기타,끼리스틱케익 플레인 치즈,2400
디저트&기타,끼리스틱케익 블루베리 치즈,2400
디저트&기타,초코 티라미수 케이크,4500
디저트&기타,수플레 치즈 케이크,4500
디저트&기타,데블스 초코 케이크,4500
디저트&기타,이너츠,1400
디저트&기타,얼그레이 쇼콜라 마카롱,2800
디저트&기타,쿠키 앤 크림 마카롱,2800
